,Country,Mean Assistance (2011-2016),Mean CO2 (2011-2016),Mean Employment (2011-2016),Mean GDP (2011-2016),Aided,logAssist,logCO2,logEmploy,logGDP
8,Bangladesh,2295588338.0,73239.77,19.254999800000004,3245.758333,Aided,21.554255004032242,11.201493858423058,2.95777075687996,8.08510429459438
9,Belarus,88781668.04,61574.43,31.58499972,18047.65333,Aided,18.301690745659535,11.028001965942238,3.452682315485696,9.800770945890788
10,Belize,33210000.04,539.0516667,15.7750001,7296.51,Aided,17.318361594557384,6.28981142290132,2.7584264147664213,8.895151430626974
11,Benin,562900004.1,5470.553333,18.42499987,2718.261667,Aided,20.148612557717964,8.607135048069578,2.9137084310197694,7.907747861968344
12,Bhutan,116103332.5,976.035,10.08166647,8637.003333,Aided,18.56999114995988,6.883498446425852,2.310718573383411,9.063810965178092
13,Bolivia,678728322.4,19379.483330000006,20.88666693,6616.2,Aided,20.335731491170176,9.871970225130655,3.03911100946366,8.797276465992688
14,Bosnia and Herzegovina,524620015.5,21318.10667,30.16333326,11302.18833,Aided,20.0781847785007,9.96731206898926,3.406627056263724,9.332751643473358
15,Botswana,92403334.31,5568.95,18.01833344,15276.54333,Aided,18.341673621566905,8.624961805276783,2.8913897639965214,9.634073815269849
16,Brazil,979488342.1,485556.0283,22.37166659,15065.65333,Aided,20.702540893389322,13.09304996335064,3.107795273844536,9.620172818031962
17,Burkina Faso,1055101644.0,2922.598333,27.88333289,1698.365,Aided,20.776902944257255,7.980228339657853,3.3280291228651415,7.437421302545995
18,Burundi,546640004.5,418.0383333,3.36833334,754.8783333,Aided,20.119301016668906,6.035573134779306,1.2144180641666928,6.626556588316279
19,Cabo Verde,207008332.6,524.995,22.55666637,5940.675,Aided,19.148269604525748,6.263388738736748,3.116030648423963,8.689578042264204
20,Cambodia,753003336.6,6918.4083329999985,21.32666683,3129.126667,Aided,20.43958021683005,8.84194101247335,3.0599582535119056,8.048509224473046
21,Cameroon,706343332.9,6727.111667,13.689999900000002,3080.483333,Aided,20.375611984472275,8.813901157709445,2.6166656319957555,8.032841789954677
22,Central African Republic,384016670.2,289.6933333,6.845000029,868.595,Aided,19.766196521588896,5.668822892083867,1.9235184629770814,6.766876963694561
23,Chad,502488332.1,954.0316667,2.089999993,1709.8766670000002,Aided,20.035082977926432,6.860696864503261,0.7371640626274374,7.4441765223342005
24,Chile,141365000.4,81935.44833,23.47833316,22202.06167,Aided,18.76685575886452,11.313687000741762,3.156078002661467,10.007940431566421
25,Colombia,1053653351.0,88075.23,19.9983333,12797.13667,Aided,20.77552934397543,11.385946614616758,2.995648935081437,9.456976727227406
26,Comoros,72111666.36,163.1816667,18.52666664,2629.223333,Aided,18.09372639721005,5.094864099822742,2.9192111342068814,7.874443770912647
27,"Congo, Dem. Rep.",3009671672.0,3003.273333,9.226666927,801.8133333,Aided,21.825096830687873,8.007458083821284,2.2220978702966767,6.686875829279422
28,"Congo, Rep.",139065001.2,3020.388333,22.79666646,5378.2,Aided,18.750452016320388,8.013140689188397,3.126614317376242,8.590109024683262
29,Costa Rica,60566666.93,7635.306667,18.22500007,15491.351669999998,Aided,17.919255249046117,8.940538382792402,2.9027942817356,9.64803719041734
30,Cote d'Ivoire,1302003326.0,9823.893333,11.83333333,3394.31,Aided,20.987169935261015,9.192572792530747,2.4709204075315703,8.129855779277827
31,Djibouti,160660001.1,564.1066667,13.22666677,4415.023333,Aided,18.8948008955567,6.3352433589707235,2.5822350015610622,8.392768397961808
32,Dominica,17795000.24,169.905,0.0,10714.995,Aided,16.694428090413364,5.135239457320787,-inf,9.27939944127201
33,Dominican Republic,212086664.9,22791.015,18.16666699,13429.58,Aided,19.172505545799794,10.034121658325649,2.8995884307992537,9.505215015759463
34,Ecuador,201133336.4,40173.20667,18.79999987,10855.055,Aided,19.119478611268057,10.60095555165048,2.93385686292101,9.292386149089054
35,"Egypt, Arab Rep.",2708191676.0,223819.6233,24.58666674,10933.48,Aided,21.719546970880035,12.318595753321723,3.202204293562875,9.299584920248297
36,El Salvador,167196669.3,6640.938333,21.13000011,7125.615,Aided,18.934681337961916,8.801008547697268,3.0506938368338337,8.871451317201332
37,Equatorial Guinea,9759999.832,7179.375,24.13500023,30802.39,Aided,16.09380294117616,8.878967610899668,3.183663078642185,10.335347563353741
38,Eritrea,99270000.46,665.5616667,7.599999905,270.91833330000003,Aided,18.413353973199733,6.5006312957511545,2.0281482347922855,5.601817422327189
39,Eswatini,109689999.9,1145.938333,25.20000045,8557.933332999999,Aided,18.513168762475857,7.043979085181116,3.2268440123745203,9.054614006925387
40,Ethiopia,3588656657.0,11181.295,8.511666775,1446.966667,Aided,22.00104377916926,9.321997571843676,2.1414377841591263,7.277224690429732
41,Fiji,97686667.15,1556.031667,15.04333337,10505.015,Aided,18.397275640453834,7.349894056073664,2.710934927608203,9.259608041169562
42,Gabon,79529998.14,5199.195,10.44166676,15077.675,Aided,18.191644843545916,8.556259084893263,2.34580422105257,9.620970451956508
43,"Gambia, The",115543333.7,484.045,15.69666656,2116.61,Aided,18.565156201112156,6.182177877601316,2.7534483687918554,7.657571031206717
44,Georgia,554331665.0,8924.253333,11.10333331,10886.88667,Aided,20.133273738863398,9.096527942980066,2.4072453614360074,9.295314286164098
45,Ghana,1523931681.0,14926.523330000002,16.01166661,4647.078333,Aided,21.14455946446587,9.6108949987141,2.773317619654506,8.443993985624637
46,Grenada,17434999.78,265.2466667,0.0,12731.29833,Aided,16.67399022547359,5.5806602107798815,-inf,9.45181867613875
47,Guatemala,351940007.5,13820.315,19.62833309,7661.181667,Aided,19.67897128579834,9.533894890115448,2.976974088228357,8.943921515458484
48,Guinea,495354995.7,2623.74,5.521666606,1842.2116670000007,Aided,20.020785226524747,7.872356059788847,1.7086797360967287,7.51872212172266
49,Guinea-Bissau,118116667.4,266.4683333,8.788333257,1480.198333,Aided,18.58718340076098,5.585255412155478,2.1734250756285656,7.29993136656357
50,Guyana,97424999.26,2020.518333,25.09833304,10822.83,Aided,18.39459340159346,7.611109357974024,3.22280143118331,9.289413070881755
51,Haiti,1188639994.0,2553.453333,6.968333165,2877.776667,Aided,20.896075628319984,7.845201970220677,1.9413760519835181,7.964773284366779
52,Honduras,518431666.1,9451.691667,20.69166692,4421.05,Aided,20.06631878543461,9.153949016847937,3.029731054969375,8.394132503420737
53,India,2708936707.0,2143245.382,24.26000055,5158.445,Aided,21.719822035804484,14.577831771867038,3.188828926186967,8.54839045646944
54,"Iran, Islamic Rep.",116241666.1,630753.9467,32.94499938,15344.745,Aided,18.571181910399563,13.35467112363791,3.494839485546539,9.638528349124948
55,Iraq,1649536641.0,163475.4717,23.03999996,13122.995,Aided,21.223760261784197,12.004418237881806,3.1372318340915792,9.482121313885774
56,Jamaica,53764998.75,7698.866667,15.37833325,8553.0,Aided,17.80013323255744,8.948828410904941,2.73295958694353,9.054037377580782
57,Jordan,1849684977.0,24742.47167,25.2450002,9334.056667,Aided,21.338281178834198,10.116276546776758,3.2286281242332397,9.141424997521973
58,Kazakhstan,110155000.1,250428.5967,19.92666626,23180.96833,Aided,18.517399023736616,12.430929115760774,2.9920588477795187,10.051086890395679
59,Kenya,2625383342.0,14782.9,6.055000146,2959.051667,Aided,21.68849275737554,9.601226386351389,1.8008844011173593,7.992624113214312
60,Kiribati,66941666.29,57.45166667,0.0,1957.083333,Aided,18.01933214572925,4.050944014665953,-inf,7.579210548502774
61,"Korea, Dem. People’s Rep.",121678332.0,31371.18333,14.3416667,0.0,Aided,18.61689149773457,10.353645022181917,2.6631690557537233,-inf
62,Kosovo,517616663.6,8166.406667,0.0,9031.02,Aided,20.064745494604928,9.007784270664033,-inf,9.108420596842523
63,Kyrgyz Republic,561428334.6,9692.491667,21.12166659,4022.705,Aided,20.145994691940118,9.179106809807804,3.0502993662361537,8.299709840899213
64,Lao PDR,425158335.4,7076.088333,10.22833331,5527.956667,Aided,19.86797221139008,8.864476538666993,2.325161644891706,8.617573526596232
65,Lebanon,787428324.4,23169.93833,25.74666659,15006.555,Aided,20.484282907886875,10.05061095579146,3.248305165914472,9.616242384627656
66,Lesotho,193238334.7,2406.776667,13.6333332,2722.118333,Aided,19.07943487983235,7.786043648683947,2.612517764600695,7.909165655080603
67,Liberia,754681681.4,1098.27,10.7183334,1276.665,Aided,20.441806604269374,7.001491493479968,2.3719556771385895,7.1520064880227014
68,Libya,234031663.3,52617.17167,24.82833322,15544.71167,Aided,19.270966977415828,10.870797803054675,3.211985469598769,9.651475774234635
69,Madagascar,533710001.6,3198.85,7.913333416,1554.013333,Aided,20.09536318124475,8.070546649197148,2.068549110959916,7.348596110684866
70,Malawi,1053981679.0,1170.385,5.679999987,1054.735,Aided,20.775840904561566,7.06508803349255,1.7369512304443278,6.961044829523849
71,Maldives,32916666.98,1208.888333,17.84833336,15363.42333,Aided,17.309489682596382,7.09745648323905,2.881910134678799,9.63974485491603
72,Mali,1217233348.0,2747.805,7.858333429,1923.405,Aided,20.919846372917082,7.918557690125721,2.0615745520253244,7.561852331838276
73,Marshall Islands,64571665.92,140.5683333,0.0,3418.21,Aided,17.983286264486647,4.945693728547197,-inf,8.136872301226479
74,Mauritania,330618331.9,2666.518333,17.85166677,4360.7,Aided,19.616475192207105,7.888528905321729,2.8820968803369253,8.38038787391495
75,Mauritius,112243333.2,4121.706667,26.96999995,18317.02833,Aided,18.536179690395223,8.324022596133158,3.294725135297727,9.815586416009673
76,Mexico,647106679.3,486991.0467,24.73166625,17789.841669999998,Aided,20.28802172187192,13.096001017296139,3.2080844569424833,9.786382880676488
77,"Micronesia, Fed. Sts.",111056667.3,133.2333333,0.0,3338.22,Aided,18.525551145223755,4.892101976798981,-inf,8.11319300977914
78,Moldova,396383326.2,4988.343333,18.10166677,8558.468333,Aided,19.797892296467822,8.51485913622744,2.896004020772388,9.05467652006461
79,Mongolia,348903335.6,29747.92833,19.32166672,10376.05667,Aided,19.670305466443775,10.300514772582693,2.9612270942145416,9.247256187623616
80,Montenegro,105501665.8,2190.423333,17.95499961,15518.31167,Aided,18.4742373003292,7.691850106869706,2.887868605957077,9.6497760036703
81,Morocco,1790128337.0,59564.91333,21.87833341,6846.39,Aided,21.30555315087704,10.994821977183298,3.085496805091489,8.831476785039845
82,Mozambique,1984794983.0,5568.338333,6.919999997000001,1156.261667,Aided,21.40878146262807,8.624851963997232,1.9344157691960522,7.052947379154106
83,Myanmar,1485036687.0,17363.24667,16.553333600000002,4061.163333,Aided,21.118705313946414,9.762110990889541,2.806587507521456,8.309224746774076
84,Namibia,221746668.5,3467.148333,15.57166656,9871.34,Aided,19.217046155365797,8.151087729021318,2.7454530167267612,9.197390888156576
85,Nauru,29724999.75,44.615,0.0,9391.883333,Aided,17.20749899213069,3.798070125352115,-inf,9.14760112003587
86,Nepal,927514994.2,6902.516667,13.73166657,2389.531667,Aided,20.64801951856856,8.839641358433774,2.6197045940597543,7.778852670493697
87,Nicaragua,480961675.0,4921.725,17.87666734,4871.838333,Aided,19.991298147140917,8.501414357793214,2.883496361992209,8.491226625957395
88,Niger,845441670.8,1848.168333,7.069999932999999,1131.795,Aided,20.55536973610528,7.521950337338967,1.9558604704318192,7.031560146957014
89,Nigeria,2275013346.0,123575.4583,11.46166658,5216.5,Aided,21.545251755705745,11.724607246847222,2.439008126542253,8.559581957908025
90,North Macedonia,188553334.5,7945.166667,30.23666668,13063.01333,Aided,19.054891466476462,8.980319056346762,3.4090553163997086,9.477540105925451
91,Pakistan,3044531718.0,181451.1067,22.91500028,4189.586667000001,Aided,21.83661293908969,12.108741511823498,3.131791730180158,8.340357360556167
92,Palau,21768332.96,220.6316667,0.0,16277.59667,Aided,16.895966855175352,5.396494644568137,-inf,9.69754500396606
93,Panama,1850001.17,10794.42667,19.05333296,22076.42167,Aided,14.43069682948674,9.286785230839087,2.947242044799435,10.002265425210458
94,Papua New Guinea,608178334.6,6092.721667,9.994999886,3579.0366670000008,Aided,20.225978710409294,8.71485016842387,2.3020849565466603,8.18284895575406
95,Paraguay,87733334.86,5908.76,18.41166623,11087.82333,Aided,18.28981248614854,8.684191274511345,2.9129844979392825,9.313602787861187
96,Peru,387211659.8,52226.63833,16.61500009,11272.735,Aided,19.77448202603314,10.863347956540666,2.8103059072233494,9.33014225727244
97,Philippines,254810001.9,103098.315,15.93666681,6771.378333,Aided,19.356028734816515,11.543438326515533,2.7686225429638367,8.820459939423117
98,Rwanda,1083679993.0,857.4666667000001,7.456666629,1647.076667,Aided,20.803628486971395,6.753982305631473,2.0091084817825204,7.406757278578157
99,Samoa,99241667.42,214.5216667,24.14333344,5727.7,Aided,18.41306851854112,5.368410743523289,3.184008293957184,8.653069332967224
100,Sao Tome and Principe,52550001.15,113.0683333,18.20666663,3469.141667000001,Aided,17.777275677171154,4.727992355412228,2.901787825363535,8.15166248412956
101,Senegal,972360005.8,9272.01,12.91666667,2845.776667,Aided,20.69523667018978,9.134755463534969,2.5585184673893107,7.953591302977549
102,Serbia,760036677.0,43983.83167,25.44499969,14625.985,Aided,20.44887724929074,10.691577383324223,3.2365192478576557,9.590555020259469
103,Seychelles,18244999.97,443.70833330000005,0.0,23249.24167,Aided,16.7194016262084,6.095167439592314,-inf,10.054027794139492
104,Sierra Leone,644470011.4,1098.27,5.9649999939999985,1554.381667,Aided,20.283938849237686,7.001491493479968,1.7859090545440117,7.348833103732226
105,Solomon Islands,248143333.5,185.7933333,9.531666755,2429.813333,Aided,19.329517094837342,5.2246349446811,2.2546195979665242,7.79556971568849
106,Somalia,1116236664.0,626.4433333,2.564999978,0.0,Aided,20.83322874293916,6.440058320604446,0.9419584700457347,-inf
107,South Africa,1239348328.0,471059.765,23.61666679,12390.93667,Aided,20.937851536482306,13.062740254545353,3.1619526826908806,9.424720570635793
108,South Sudan,1374561671.0,1597.346667,17.83833281,1838.628,Aided,21.041400732515022,7.376099198546426,2.88134967043066,7.516774920292265
109,Sri Lanka,469470011.4,17918.79833,26.0583334,10868.91167,Aided,19.967114981090166,9.79360562680279,3.260337617234158,9.293661852747572
110,St. Kitts and Nevis,23435678.69,229.8,0.0,23201.70333,Aided,16.969770149448717,5.437209365414655,-inf,10.051980974355882
111,St. Lucia,22635000.23,408.8716667,17.14499982,13571.68,Aided,16.93500794901345,6.013401333456011,2.841706575416196,9.515740547671545
112,St. Vincent and the Grenadines,11183333.56,220.02,20.14166673,11179.66167,Aided,16.22993515298211,5.3937184513112895,3.0027906410658307,9.321851484176051
113,Sudan,1212055003.0,16904.87,16.49999968,4360.713333,Aided,20.915583105577003,9.735357025079884,2.803360361512595,8.38039093144691
114,Suriname,32233333.43,1980.791667,24.92666658,15769.24167,Aided,17.28851167475438,7.591251875595321,3.2159381774039923,9.665816591927062
115,Syrian Arab Republic,3939930029.0,37817.77,25.56333351,0.0,Aided,22.094428800961502,10.540534376962663,3.2411590400195984,-inf
116,Tajikistan,369225001.0,3854.018333,15.51500002,2944.4516670000007,Aided,19.726916774985025,8.25687160583897,2.7418072991894187,7.987677887578482
117,Tanzania,2708403320.0,10880.60167,6.158333381,2265.735,Aided,21.719625117390994,9.294736819432385,1.8178061859063452,7.725654488588581
118,Thailand,67376669.58,277612.68,21.73000018,15286.51667,Aided,18.02580936729457,12.533982183805042,3.0786938025518173,9.634726455440957
119,Timor-Leste,250576667.8,415.595,11.79833333,2608.695,Aided,19.3392754907445,6.0297112283538565,2.467958278275517,7.866605375275057
120,Togo,265406669.6,2612.126667,13.72833348,1315.348333,Aided,19.396773809915874,7.867919983477788,2.6194618344086034,7.181856801549379
121,Tonga,79861666.36,114.29,30.34333356,5547.481667,Aided,18.195806525397185,4.738739077909506,3.4125768413191526,8.621099350069427
122,Tunisia,787901662.2,28285.405,33.37499936,10255.14167,Aided,20.48488384587228,10.250101226218144,3.5078070975443834,9.235534485135583
123,Turkey,3074233358.0,340492.5633,26.79166667,23227.59333,Aided,21.84632139264933,12.738148563804561,3.2880908940140907,10.05309621858941
124,Turkmenistan,34008333.2,67301.06332999999,36.94499969,12856.54,Aided,17.342116146667426,11.116931315359414,3.6094303118497595,9.461607910268881
125,Tuvalu,33118333.5,10.38833333,0.0,3361.991667,Aided,17.315597569186405,2.3406833812718313,-inf,8.120288835381313
126,Uganda,1657825012.0,4759.765,7.221666813,2090.52,Aided,21.2287723464732,8.467953576258841,1.9770857867868599,7.645168117840068
127,Ukraine,1119536641.0,246843.495,25.23999977,10166.81167,Aided,20.83618072325756,12.416509791304138,3.2284300285604925,9.226883936448633
128,Uruguay,34185000.1,7376.171667,20.83499972,19384.37833,Aided,17.34729751225529,8.906010038691198,3.036634251435492,9.872222779949313
129,Uzbekistan,330261667.9,105467.8083,22.8199997,6016.48,Aided,19.615395831249792,11.566161050738069,3.1276373312875667,8.702257649680886
130,Vanuatu,117045000.7,130.78833329999998,9.101666689,2957.583333,Aided,18.578069040181713,4.873580240090863,2.2084575493897702,7.992127772294128
131,"Venezuela, RB",43460000.99,178088.4667,20.62833341,2921.241667,Aided,17.587351555572123,12.090035709741258,3.026665539040447,7.979764033303
132,Vietnam,3636665039.0,165060.8383,22.10000038,5557.58,Aided,22.014332900552144,12.014069401893018,3.095577625718277,8.622918040696508
133,West Bank and Gaza,2300815002.0,2661.02,27.94666672,5482.028333,Aided,21.556529245810495,7.886464786920884,3.330297933813019,8.609230445218584
134,"Yemen, Rep.",1245326680.0,18875.27,14.27166637,3595.601667000001,Aided,20.942663726018207,9.845607878650677,2.658276199022938,8.187466618321341
135,Zambia,982865000.5,4122.318333,10.26000007,3449.99,Aided,20.70598233449916,8.324170986270529,2.3282528465652357,8.14612661147048
136,Zimbabwe,792470001.2,10780.37,7.871666829,2522.828333,Aided,20.49066520962386,9.285482166694011,2.063269835302456,7.83313590550176
