Country,Mean Assistance (2011-2016),Mean CO2 (2011-2016),Mean Employment (2011-2016),Mean GDP (2011-2016)
Equatorial Guinea,9759999.832,7179.375,24.13500023,30802.39
Eritrea,99270000.46,665.5616667,7.599999905,270.9183333
Estonia,0,17616.87833,30.72166665,28118.77333
Eswatini,109689999.9,1145.938333,25.20000045,8557.933333
Ethiopia,3588656657,11181.295,8.511666775,1446.966667
Fiji,97686667.15,1556.031667,15.04333337,10505.015
Finland,0,48091.48,22.40000026,42078.77167
France,0,325601.18,21.05333328,39760.375
Gabon,79529998.14,5199.195,10.44166676,15077.675
"Gambia, The",115543333.7,484.045,15.69666656,2116.61
Georgia,554331665,8924.253333,11.10333331,10886.88667
Germany,,733549.1267,27.88833332,46016.00667
Ghana,1523931681,14926.52333,16.01166661,4647.078333
Greece,0,70731.54,15.82666683,26513.93167
Grenada,17434999.78,265.2466667,0,12731.29833
Guatemala,351940007.5,13820.315,19.62833309,7661.181667
Guinea,495354995.7,2623.74,5.521666606,1842.211667
Guinea-Bissau,118116667.4,266.4683333,8.788333257,1480.198333
Guyana,97424999.26,2020.518333,25.09833304,10822.83
Haiti,1188639994,2553.453333,6.968333165,2877.776667
Honduras,518431666.1,9451.691667,20.69166692,4421.05
"Hong Kong SAR, China",0,43823.095,12.14833323,54435.98333
Hungary,0,44566.275,30.30000019,25172.74
Iceland,0,1948.4,18.18999958,45739.66
India,2708936707,2143245.382,24.26000055,5158.445
Indonesia,-3681668.587,483438.9467,21.19500001,9982.821667
"Iran, Islamic Rep.",116241666.1,630753.9467,32.94499938,15344.745
Iraq,1649536641,163475.4717,23.03999996,13122.995
Ireland,0,35620.01667,17.60333316,55173.94333
Israel,0,67492.35833,17.63666662,33977.59667
Italy,0,358297.9883,27.09000015,37070.03667
Jamaica,53764998.75,7698.866667,15.37833325,8553
Japan,0,1195178.587,25.10333347,38578.69333
Jordan,1849684977,24742.47167,25.2450002,9334.056667
Kazakhstan,110155000.1,250428.5967,19.92666626,23180.96833
Kenya,2625383342,14782.9,6.055000146,2959.051667
Kiribati,66941666.29,57.45166667,0,1957.083333
"Korea, Dem. People’s Rep.",121678332,31371.18333,14.3416667,0
"Korea, Rep.",0,595113.1517,25.4333334,35525.09
Kosovo,517616663.6,8166.406667,0,9031.02
Kuwait,0,93680.85,23.36333339,66819.225
Kyrgyz Republic,561428334.6,9692.491667,21.12166659,4022.705
Lao PDR,425158335.4,7076.088333,10.22833331,5527.956667
Latvia,0,7062.641667,23.65333335,23262.48333
Lebanon,787428324.4,23169.93833,25.74666659,15006.555
Lesotho,193238334.7,2406.776667,13.6333332,2722.118333
Liberia,754681681.4,1098.27,10.7183334,1276.665
Libya,234031663.3,52617.17167,24.82833322,15544.71167
Liechtenstein,0,51.95166667,0,0
Lithuania,0,13190.81167,25.01666641,27042.36
Luxembourg,0,9907.013333,12.26999998,99149.86333
"Macao SAR, China",0,1644.038333,13.90500005,132399.0267
Madagascar,533710001.6,3198.85,7.913333416,1554.013333
Malawi,1053981679,1170.385,5.679999987,1054.735
Malaysia,-14446666.03,233567.7317,27.78500016,23854.035
Maldives,32916666.98,1208.888333,17.84833336,15363.42333
Mali,1217233348,2747.805,7.858333429,1923.405
Malta,0,2147.64,21.47500006,33834.60833
Marshall Islands,64571665.92,140.5683333,0,3418.21
Mauritania,330618331.9,2666.518333,17.85166677,4360.7
Mauritius,112243333.2,4121.706667,26.96999995,18317.02833
Mexico,647106679.3,486991.0467,24.73166625,17789.84167
"Micronesia, Fed. Sts.",111056667.3,133.2333333,0,3338.22
Moldova,396383326.2,4988.343333,18.10166677,8558.468333
Mongolia,348903335.6,29747.92833,19.32166672,10376.05667
Montenegro,105501665.8,2190.423333,17.95499961,15518.31167
Morocco,1790128337,59564.91333,21.87833341,6846.39
Mozambique,1984794983,5568.338333,6.919999997,1156.261667
Myanmar,1485036687,17363.24667,16.5533336,4061.163333
Namibia,221746668.5,3467.148333,15.57166656,9871.34
Nauru,29724999.75,44.615,0,9391.883333
Nepal,927514994.2,6902.516667,13.73166657,2389.531667
Netherlands,0,172208.4333,16.67333317,49153.81167
New Zealand,0,33832.35333,20.31499958,36115.75333
Nicaragua,480961675,4921.725,17.87666734,4871.838333
Niger,845441670.8,1848.168333,7.069999933,1131.795
Nigeria,2275013346,123575.4583,11.46166658,5216.5
North Macedonia,188553334.5,7945.166667,30.23666668,13063.01333
Norway,0,45214.11167,20.13833332,63265.715
Oman,0,60965.71,34.37666702,38112.86
Pakistan,3044531718,181451.1067,22.91500028,4189.586667
Palau,21768332.96,220.6316667,0,16277.59667
Panama,1850001.17,10794.42667,19.05333296,22076.42167
Papua New Guinea,608178334.6,6092.721667,9.994999886,3579.036667
Paraguay,87733334.86,5908.76,18.41166623,11087.82333
Peru,387211659.8,52226.63833,16.61500009,11272.735
Philippines,254810001.9,103098.315,15.93666681,6771.378333
Poland,0,298322.6733,30.69333395,25300.095
Portugal,0,46953.49167,24.736667,28525.77667
Qatar,0,96119.405,53.20999972,120727.1383
Romania,0,74733.46,28.72166634,20513.8
Russian Federation,0,1746216.845,27.49166711,24524.73
Rwanda,1083679993,857.4666667,7.456666629,1647.076667
Samoa,99241667.42,214.5216667,24.14333344,5727.7
Sao Tome and Principe,52550001.15,113.0683333,18.20666663,3469.141667
Saudi Arabia,0,569562.72,23.21166674,53204.49833
Senegal,972360005.8,9272.01,12.91666667,2845.776667
Serbia,760036677,43983.83167,25.44499969,14625.985
Seychelles,18244999.97,443.7083333,0,23249.24167
Sierra Leone,644470011.4,1098.27,5.964999994,1554.381667
Singapore,0,51416.22833,18.88333321,84317.19333
Sint Maarten (Dutch part),0,715.0683333,0,36315.19167
Slovak Republic,0,32467.61833,36.48000081,28271.38167
Slovenia,0,13561.79,31.62833278,30730.36833
Solomon Islands,248143333.5,185.7933333,9.531666755,2429.813333
Somalia,1116236664,626.4433333,2.564999978,0
South Africa,1239348328,471059.765,23.61666679,12390.93667
South Sudan,1374561671,1597.346667,17.83833281,1838.628
Spain,0,250139.515,20.19000022,33622.86167
Sri Lanka,469470011.4,17918.79833,26.0583334,10868.91167
St. Kitts and Nevis,23435678.69,229.8,0,23201.70333
St. Lucia,22635000.23,408.8716667,17.14499982,13571.68
St. Vincent and the Grenadines,11183333.56,220.02,20.14166673,11179.66167
Sudan,1212055003,16904.87,16.49999968,4360.713333
Suriname,32233333.43,1980.791667,24.92666658,15769.24167
Sweden,0,44757.57,18.97166697,47178.575
Switzerland,0,36883.29667,21.38500055,60948.785
Syrian Arab Republic,3939930029,37817.77,25.56333351,0
Tajikistan,369225001,3854.018333,15.51500002,2944.451667
Tanzania,2708403320,10880.60167,6.158333381,2265.735
Thailand,67376669.58,277612.68,21.73000018,15286.51667
Timor-Leste,250576667.8,415.595,11.79833333,2608.695
Togo,265406669.6,2612.126667,13.72833348,1315.348333
Tonga,79861666.36,114.29,30.34333356,5547.481667
Trinidad and Tobago,0,45880.28167,28.21333345,29081.69
Tunisia,787901662.2,28285.405,33.37499936,10255.14167
Turkey,3074233358,340492.5633,26.79166667,23227.59333
Turkmenistan,34008333.2,67301.06333,36.94499969,12856.54
Turks and Caicos Islands,0,195.5733333,0,22201.40667
Tuvalu,33118333.5,10.38833333,0,3361.991667
Uganda,1657825012,4759.765,7.221666813,2090.52
Ukraine,1119536641,246843.495,25.23999977,10166.81167
United Arab Emirates,0,206560.8883,34.90999985,68275.48333
United Kingdom,0,429241.2983,18.86999989,40564.015
United States,0,5146839.242,19.83666674,54078.46667
Uruguay,34185000.1,7376.171667,20.83499972,19384.37833
Uzbekistan,330261667.9,105467.8083,22.8199997,6016.48
Vanuatu,117045000.7,130.7883333,9.101666689,2957.583333
"Venezuela, RB",43460000.99,178088.4667,20.62833341,2921.241667
Vietnam,3636665039,165060.8383,22.10000038,5557.58
West Bank and Gaza,2300815002,2661.02,27.94666672,5482.028333
"Yemen, Rep.",1245326680,18875.27,14.27166637,3595.601667
Zambia,982865000.5,4122.318333,10.26000007,3449.99
Zimbabwe,792470001.2,10780.37,7.871666829,2522.828333
